keyword,cluster_id,cluster_size,intent,modifier_hits,score,volume,difficulty,cpc
affordable keyword research checklist,1,20,unspecified,2,1.4,,,
affordable keyword research guide,1,20,informational,2,1.4,,,
affordable keyword research near me,1,20,transactional,2,1.4,,,
affordable keyword research pricing,1,20,unspecified,2,1.4,,,
best keyword research checklist,1,20,commercial,2,1.4,,,
best keyword research guide,1,20,informational,2,1.4,,,
best keyword research near me,1,20,commercial,2,1.4,,,
best keyword research pricing,1,20,commercial,2,1.4,,,
enterprise keyword research checklist,1,20,unspecified,2,1.4,,,
enterprise keyword research guide,1,20,informational,2,1.4,,,
enterprise keyword research near me,1,20,transactional,2,1.4,,,
enterprise keyword research pricing,1,20,unspecified,2,1.4,,,
affordable local seo checklist,0,40,unspecified,2,1.4,,,
affordable local seo guide,0,40,informational,2,1.4,,,
affordable local seo near me,0,40,transactional,2,1.4,,,
affordable local seo pricing,0,40,unspecified,2,1.4,,,
affordable seo audit checklist,0,40,unspecified,2,1.4,,,
affordable seo audit guide,0,40,informational,2,1.4,,,
affordable seo audit near me,0,40,transactional,2,1.4,,,
affordable seo audit pricing,0,40,unspecified,2,1.4,,,
best local seo checklist,0,40,commercial,2,1.4,,,
best local seo guide,0,40,informational,2,1.4,,,
best local seo near me,0,40,commercial,2,1.4,,,
best local seo pricing,0,40,commercial,2,1.4,,,
best seo audit checklist,0,40,commercial,2,1.4,,,
best seo audit guide,0,40,informational,2,1.4,,,
best seo audit near me,0,40,commercial,2,1.4,,,
best seo audit pricing,0,40,commercial,2,1.4,,,
enterprise local seo checklist,0,40,unspecified,2,1.4,,,
enterprise local seo guide,0,40,informational,2,1.4,,,
enterprise local seo near me,0,40,transactional,2,1.4,,,
enterprise local seo pricing,0,40,unspecified,2,1.4,,,
enterprise seo audit checklist,0,40,unspecified,2,1.4,,,
enterprise seo audit guide,0,40,informational,2,1.4,,,
enterprise seo audit near me,0,40,transactional,2,1.4,,,
enterprise seo audit pricing,0,40,unspecified,2,1.4,,,
affordable keyword research,1,20,unspecified,1,1.2,,,
best keyword research,1,20,commercial,1,1.2,,,
enterprise keyword research,1,20,unspecified,1,1.2,,,
keyword research checklist,1,20,unspecified,1,1.2,,,
keyword research guide,1,20,informational,1,1.2,,,
keyword research near me,1,20,transactional,1,1.2,,,
keyword research pricing,1,20,unspecified,1,1.2,,,
affordable local seo,0,40,unspecified,1,1.2,,,
affordable seo audit,0,40,unspecified,1,1.2,,,
best local seo,0,40,commercial,1,1.2,,,
best seo audit,0,40,commercial,1,1.2,,,
enterprise local seo,0,40,unspecified,1,1.2,,,
enterprise seo audit,0,40,unspecified,1,1.2,,,
local seo checklist,0,40,unspecified,1,1.2,,,
local seo guide,0,40,informational,1,1.2,,,
local seo near me,0,40,transactional,1,1.2,,,
local seo pricing,0,40,unspecified,1,1.2,,,
seo audit checklist,0,40,unspecified,1,1.2,,,
seo audit guide,0,40,informational,1,1.2,,,
seo audit near me,0,40,transactional,1,1.2,,,
seo audit pricing,0,40,unspecified,1,1.2,,,
keyword research,1,20,unspecified,0,0.5,,,
local seo,0,40,unspecified,0,0.5,,,
seo audit,0,40,unspecified,0,0.5,,,
